資料基準年度,產業別,市場,臺灣對該市場出口額USD千美元,臺灣對該市場出口額排名,市場成長率%,市場占比%
106,機械及電機設備,不丹,70,189,-45.31,0
106,機械及電機設備,吉里巴斯,68,190,-64.21,0
106,機械及電機設備,維德角,63,191,-,0
106,機械及電機設備,安地卡及巴布達,52,192,-63.64,0
106,機械及電機設備,格瑞那達,50,193,25,0
106,機械及電機設備,多米尼克,42,194,-52.27,0
106,機械及電機設備,赤道幾內亞,40,195,17.65,0
106,機械及電機設備,安圭拉,36,196,-5.26,0
106,機械及電機設備,巴哈馬,21,197,23.53,0
106,機械及電機設備,聖多美普林西比,19,198,-93.36,0
106,機械及電機設備,蒲隆地,9,199,-52.63,0
106,機械及電機設備,北韓,4,200,33.33,0
106,機械及電機設備,葛摩聯盟,3,201,-70,0
106,植物產品 ,中國大陸,174375,1,25.57,25.26
106,植物產品 ,日本,168636,2,2.98,24.43
106,植物產品 ,美國,98548,3,6.7,14.28
106,植物產品 ,香港,66472,4,9.99,9.63
106,植物產品 ,越南,28396,5,8.7,4.11
106,植物產品 ,荷蘭,18357,6,-8.08,2.66
106,植物產品 ,馬來西亞,14514,7,27.44,2.1
106,植物產品 ,澳大利亞,14489,8,21.93,2.1
106,植物產品 ,南韓,14148,9,-29.73,2.05
106,植物產品 ,新加坡,13369,10,6.75,1.94
106,植物產品 ,加拿大,13217,11,12.22,1.91
106,植物產品 ,海地,7242,12,80.33,1.05
106,植物產品 ,印度,6169,13,-0.52,0.89
106,植物產品 ,巴西,4947,14,42.2,0.72
106,植物產品 ,印尼,4126,15,54.47,0.6
106,植物產品 ,英國,3900,16,-7.84,0.56
106,植物產品 ,菲律賓,3847,17,33.76,0.56
106,植物產品 ,澳門,2913,18,4.56,0.42
106,植物產品 ,泰國,2876,19,19.73,0.42
106,植物產品 ,德國,2661,20,-21.13,0.39
106,植物產品 ,比利時,1811,21,-8.3,0.26
106,植物產品 ,其他非洲國家,1786,22,-3.3,0.26
106,植物產品 ,阿拉伯聯合大公國,1661,23,-13.22,0.24
106,植物產品 ,南非,1370,24,20.28,0.2
106,植物產品 ,薩爾瓦多,1368,25,7.63,0.2
106,植物產品 ,法國,1308,26,-0.46,0.19
106,植物產品 ,土耳其,1252,27,-7.74,0.18
106,植物產品 ,義大利,1251,28,-10.9,0.18
106,植物產品 ,瓜地馬拉,1191,29,775.74,0.17
106,植物產品 ,紐西蘭,655,30,21.07,0.09
106,植物產品 ,孟加拉,599,31,8.51,0.09
106,植物產品 ,宏都拉斯,584,32,-3.31,0.08
106,植物產品 ,多明尼加,579,33,43.32,0.08
106,植物產品 ,挪威,561,34,54.97,0.08
106,植物產品 ,約旦,557,35,-45.18,0.08
106,植物產品 ,沙烏地阿拉伯,474,36,-21.91,0.07
106,植物產品 ,巴拉圭,459,37,359,0.07
106,植物產品 ,柬埔寨,439,38,29.88,0.06
106,植物產品 ,千里達及托巴哥,410,39,-10.87,0.06
106,植物產品 ,俄羅斯,408,40,10.87,0.06
106,植物產品 ,科威特,406,41,51.49,0.06
106,植物產品 ,汶萊,396,42,-28.39,0.06
106,植物產品 ,史瓦帝尼,395,43,29.51,0.06
106,植物產品 ,巴基斯坦,376,44,10.26,0.05
106,植物產品 ,其他國家,375,45,28.87,0.05
106,植物產品 ,瑞士,365,46,-75.34,0.05
106,植物產品 ,關島,347,47,-3.61,0.05
106,植物產品 ,黎巴嫩,344,48,3.3,0.05
106,植物產品 ,哥倫比亞,292,49,153.91,0.04
106,植物產品 ,西班牙,292,49,-6.71,0.04
106,植物產品 ,智利,261,50,5.67,0.04
106,植物產品 ,馬紹爾群島共和國,253,51,3.27,0.04
106,植物產品 ,埃及,217,52,52.82,0.03
106,植物產品 ,奧地利,213,53,5.45,0.03
106,植物產品 ,厄瓜多,194,54,189.55,0.03
106,植物產品 ,墨西哥,187,55,-24.9,0.03
106,植物產品 ,阿根廷,184,56,38.35,0.03
106,植物產品 ,以色列,181,57,28.37,0.03
106,植物產品 ,斯里蘭卡,174,58,346.15,0.03
106,植物產品 ,玻利維亞,174,58,0.58,0.03
106,植物產品 ,烏拉圭,169,59,39.67,0.02
106,植物產品 ,巴拿馬,168,60,-20,0.02
106,植物產品 ,斐濟,159,61,-15.43,0.02
106,植物產品 ,牙買加,148,62,94.74,0.02
106,植物產品 ,秘魯,137,63,149.09,0.02
106,植物產品 ,其他大洋洲國家,101,64,24.69,0.01
106,植物產品 ,坦尚尼亞,100,65,104.08,0.01
106,植物產品 ,烏克蘭,95,66,295.83,0.01
106,植物產品 ,阿曼,88,67,-12.87,0.01
106,植物產品 ,捷克,86,68,-1.15,0.01
106,植物產品 ,帛琉,78,69,18.18,0.01
106,植物產品 ,緬甸,76,70,-75.8,0.01
106,植物產品 ,拉脫維亞,75,71,141.94,0.01
106,植物產品 ,哥斯大黎加,74,72,-53.16,0.01
106,植物產品 ,巴林,73,73,5.8,0.01
106,植物產品 ,克羅埃西亞,71,74,115.15,0.01
106,植物產品 ,阿爾及利亞,68,75,83.78,0.01
106,植物產品 ,伊朗,65,76,30,0.01
106,植物產品 ,蘇利南,61,77,48.78,0.01
106,植物產品 ,塞爾維亞,53,78,-48.54,0.01
106,植物產品 ,瑞典,53,78,165,0.01
106,植物產品 ,美屬薩摩亞,53,78,20.45,0.01
106,植物產品 ,安哥拉,52,79,766.67,0.01
106,植物產品 ,莫三比克,52,79,-80.23,0.01
106,植物產品 ,卡達,49,80,44.12,0.01
106,植物產品 ,波多黎各,47,81,-16.07,0.01
106,植物產品 ,吉里巴斯,37,82,184.62,0.01
106,植物產品 ,伊拉克,32,83,-,0
106,植物產品 ,尼泊爾,32,83,-13.51,0
106,植物產品 ,肯亞,31,84,138.46,0
106,植物產品 ,模里西斯,30,85,-44.44,0
106,植物產品 ,其他中美洲國家,29,86,-3.33,0
106,植物產品 ,塞內加爾,25,87,400,0
106,植物產品 ,丹麥,23,88,-64.62,0
106,植物產品 ,委內瑞拉,21,89,-68.66,0
106,植物產品 ,馬爾地夫,20,90,122.22,0
106,植物產品 ,獅子山,19,91,216.67,0
106,植物產品 ,立陶宛,18,92,500,0
106,植物產品 ,紐喀里多尼亞,18,92,-56.1,0
106,植物產品 ,巴布亞紐幾內亞,16,93,-99.96,0
106,植物產品 ,東加,14,94,27.27,0
106,植物產品 ,利比亞,12,95,20,0
106,植物產品 ,奈及利亞,12,95,20,0
106,植物產品 ,尼加拉瓜,11,96,10,0
106,植物產品 ,蓋亞那,11,96,450,0
106,植物產品 ,索羅門群島,10,97,42.86,0
106,植物產品 ,賴索托,9,98,-10,0
106,植物產品 ,斯洛伐克,8,99,-55.56,0
106,植物產品 ,波蘭,8,99,-92.38,0
106,植物產品 ,烏茲別克,8,99,-,0
106,植物產品 ,象牙海岸,8,99,-20,0
106,植物產品 ,敘利亞,7,100,-61.11,0
106,植物產品 ,芬蘭,7,100,-58.82,0
106,植物產品 ,幾內亞,6,101,-40,0
106,植物產品 ,愛爾蘭,6,101,-,0
106,植物產品 ,辛巴威,6,101,0,0
106,植物產品 ,希臘,5,102,-96.93,0
106,植物產品 ,白俄羅斯,5,102,-,0
106,植物產品 ,諾魯,5,102,150,0
106,植物產品 ,尚比亞,4,103,-,0
106,植物產品 ,羅馬尼亞,4,103,-86.21,0
106,植物產品 ,葡萄牙,4,103,33.33,0
106,植物產品 ,馬利,4,103,-55.56,0
106,植物產品 ,其他南美洲國家,3,104,-,0
106,植物產品 ,寮國,3,104,-,0
106,植物產品 ,匈牙利,2,105,-33.33,0
106,植物產品 ,喀麥隆,2,105,-,0
106,植物產品 ,甘比亞,2,105,-,0
106,植物產品 ,貝里斯,2,105,-60,0
106,植物產品 ,賽普勒斯,2,105,-50,0
106,植物產品 ,斯洛維尼亞,1,106,-99.76,0
106,植物產品 ,聖文森及格瑞納丁,1,106,-66.67,0
106,植物產品 ,迦納,1,106,-92.31,0
106,木及木製品,中國大陸,58312,1,64.63,30.05
106,木及木製品,美國,43621,2,5.6,22.48
106,木及木製品,日本,26789,3,-10.15,13.8
106,木及木製品,印度,5543,4,-12.97,2.86
106,木及木製品,德國,4920,5,-17.86,2.54
106,木及木製品,荷蘭,4796,6,-19.42,2.47
106,木及木製品,菲律賓,4353,7,106.99,2.24
106,木及木製品,新加坡,4125,8,-1.79,2.13
106,木及木製品,越南,3965,9,82.22,2.04
106,木及木製品,義大利,3507,10,10.01,1.81
106,木及木製品,南韓,3215,11,31.01,1.66
106,木及木製品,香港,2963,12,4.7,1.53
106,木及木製品,加拿大,2734,13,-8.07,1.41
106,木及木製品,印尼,2603,14,27.54,1.34
106,木及木製品,澳大利亞,2420,15,29.9,1.25
106,木及木製品,法國,1983,16,13.97,1.02
106,木及木製品,英國,1594,17,17.29,0.82
106,木及木製品,土耳其,1437,18,170.11,0.74
106,木及木製品,馬來西亞,1333,19,1.06,0.69
106,木及木製品,泰國,1290,20,-33.91,0.66
106,木及木製品,阿拉伯聯合大公國,1206,21,-6.73,0.62
106,木及木製品,西班牙,1193,22,199,0.61
106,木及木製品,俄羅斯,1054,23,61.16,0.54
106,木及木製品,伊朗,1024,24,276.47,0.53
106,木及木製品,波蘭,801,25,1383.33,0.41
106,木及木製品,沙烏地阿拉伯,525,26,-38.95,0.27
106,木及木製品,比利時,443,27,106.05,0.23
106,木及木製品,緬甸,437,28,414.12,0.23
106,木及木製品,柬埔寨,353,29,124.84,0.18
106,木及木製品,其他大洋洲國家,317,30,2.59,0.16
106,木及木製品,墨西哥,294,31,-9.54,0.15
106,木及木製品,科威特,289,32,-26.09,0.15
106,木及木製品,斯里蘭卡,279,33,933.33,0.14
106,木及木製品,愛沙尼亞,253,34,29.08,0.13
106,木及木製品,以色列,236,35,1375,0.12
106,木及木製品,紐西蘭,229,36,-12.6,0.12
106,木及木製品,關島,222,37,0,0.11
106,木及木製品,卡達,206,38,-44.17,0.11
106,木及木製品,南非,202,39,14.77,0.1
106,木及木製品,烏克蘭,196,40,125.29,0.1
106,木及木製品,芬蘭,191,41,83.65,0.1
106,木及木製品,帛琉,170,42,47.83,0.09
106,木及木製品,馬紹爾群島共和國,168,43,97.65,0.09
106,木及木製品,巴基斯坦,164,44,-60.39,0.08
106,木及木製品,瑞典,143,45,-33.8,0.07
106,木及木製品,拉脫維亞,129,46,-26.7,0.07
106,木及木製品,挪威,127,47,-14.77,0.07
106,木及木製品,智利,121,48,-24.84,0.06
106,木及木製品,丹麥,112,49,9.8,0.06
106,木及木製品,瓜地馬拉,100,50,96.08,0.05
106,木及木製品,其他國家,94,51,-8.74,0.05
106,木及木製品,斯洛維尼亞,78,52,-,0.04
106,木及木製品,巴西,72,53,166.67,0.04
106,木及木製品,巴林,69,54,2200,0.04
106,木及木製品,聖克里斯多福,66,55,78.38,0.03
106,木及木製品,立陶宛,60,56,1400,0.03
106,木及木製品,賽普勒斯,55,57,292.86,0.03
106,木及木製品,阿根廷,55,57,-62.33,0.03
106,木及木製品,黎巴嫩,49,58,133.33,0.03
106,木及木製品,瑞士,47,59,-50,0.02
106,木及木製品,埃及,45,60,-57.94,0.02
106,木及木製品,多明尼加,43,61,-37.68,0.02
106,木及木製品,其他中美洲國家,41,62,-10.87,0.02
106,木及木製品,約旦,38,63,-57.3,0.02
106,木及木製品,烏拉圭,33,64,50,0.02
106,木及木製品,薩爾瓦多,30,65,25,0.02
106,木及木製品,伊拉克,28,66,-3.45,0.01
106,木及木製品,模里西斯,28,66,7.69,0.01
106,木及木製品,烏茲別克,28,66,-,0.01
106,木及木製品,東加,27,67,170,0.01
106,木及木製品,葡萄牙,26,68,333.33,0.01
106,木及木製品,澳門,25,69,-52.83,0.01
106,木及木製品,美屬薩摩亞,25,69,-35.9,0.01
106,木及木製品,千里達及托巴哥,22,70,-40.54,0.01
106,木及木製品,賴索托,22,70,-15.38,0.01
106,木及木製品,羅馬尼亞,21,71,162.5,0.01
106,木及木製品,哈薩克,20,72,42.86,0.01
106,木及木製品,孟加拉,19,73,18.75,0.01
106,木及木製品,哥斯大黎加,18,74,100,0.01
106,木及木製品,哥倫比亞,17,75,-69.64,0.01
106,木及木製品,奧地利,14,76,-67.44,0.01
106,木及木製品,馬達加斯加,12,77,-25,0.01
106,木及木製品,牙買加,11,78,-64.52,0.01
106,木及木製品,莫三比克,10,79,-9.09,0.01
106,木及木製品,宏都拉斯,8,80,0,0
106,木及木製品,斯洛伐克,8,80,-72.41,0
106,木及木製品,安哥拉,7,81,-,0
106,木及木製品,希臘,7,81,-78.13,0
106,木及木製品,蘇利南,7,81,600,0
106,木及木製品,迦納,7,81,-,0
106,木及木製品,史瓦帝尼,6,82,-57.14,0
106,木及木製品,肯亞,6,82,20,0
106,木及木製品,阿曼,6,82,-86.05,0
106,木及木製品,其他非洲國家,5,83,66.67,0
106,木及木製品,剛果民主共和國,5,83,-16.67,0
106,木及木製品,喀麥隆,5,83,400,0
106,木及木製品,波多黎各,5,83,25,0
106,木及木製品,玻利維亞,5,83,-,0
106,木及木製品,衣索比亞,4,84,-,0
106,木及木製品,匈牙利,3,85,-,0
106,木及木製品,厄瓜多,3,85,-,0
106,木及木製品,委內瑞拉,3,85,-,0
106,木及木製品,巴布亞紐幾內亞,3,85,200,0
106,木及木製品,巴拿馬,3,85,-75,0
106,木及木製品,愛爾蘭,3,85,-98.38,0
106,木及木製品,斐濟,3,85,50,0
106,木及木製品,馬爾地夫,3,85,-93.48,0
106,木及木製品,塞內加爾,2,86,0,0
106,木及木製品,尼加拉瓜,2,86,-92,0
106,木及木製品,秘魯,2,86,-92.31,0
106,木及木製品,索羅門群島,2,86,-,0
106,木及木製品,馬爾他,2,86,-,0
106,木及木製品,尼泊爾,1,87,-,0
106,木及木製品,捷克,1,87,-66.67,0
106,木及木製品,汶萊,1,87,-66.67,0
106,木及木製品,突尼西亞,1,87,0,0
106,木及木製品,茅利塔尼亞伊斯蘭共和國,1,87,-,0
106,木及木製品,諾魯,1,87,-,0
106,塑膠、橡膠及其製品,中國大陸,7779061,1,20.03,33.86
106,塑膠、橡膠及其製品,美國,2704674,2,13.19,11.77
106,塑膠、橡膠及其製品,香港,1482048,3,19.81,6.45
106,塑膠、橡膠及其製品,日本,1462720,4,19.99,6.37
106,塑膠、橡膠及其製品,越南,1323226,5,16.18,5.76
106,塑膠、橡膠及其製品,印度,710143,6,4.58,3.09
106,塑膠、橡膠及其製品,南韓,601124,7,29.74,2.62
106,塑膠、橡膠及其製品,馬來西亞,547400,8,13.12,2.38
106,塑膠、橡膠及其製品,泰國,532858,9,16.31,2.32
106,塑膠、橡膠及其製品,澳大利亞,410347,10,14.96,1.79
106,塑膠、橡膠及其製品,印尼,339671,11,8.04,1.48
106,塑膠、橡膠及其製品,孟加拉,298809,12,25.51,1.3
106,塑膠、橡膠及其製品,荷蘭,273123,13,23.67,1.19
106,塑膠、橡膠及其製品,德國,262833,14,0.75,1.14
106,塑膠、橡膠及其製品,加拿大,248873,15,13.41,1.08
106,塑膠、橡膠及其製品,土耳其,248566,16,28.02,1.08
106,塑膠、橡膠及其製品,菲律賓,242507,17,9.12,1.06
106,塑膠、橡膠及其製品,英國,233325,18,3.47,1.02
106,塑膠、橡膠及其製品,巴西,227718,19,39.92,0.99
106,塑膠、橡膠及其製品,新加坡,224439,20,9.06,0.98
106,塑膠、橡膠及其製品,墨西哥,178682,21,8.6,0.78
106,塑膠、橡膠及其製品,阿拉伯聯合大公國,152465,22,12.8,0.66
106,塑膠、橡膠及其製品,義大利,144406,23,16.84,0.63
106,塑膠、橡膠及其製品,伊朗,139369,24,-4.97,0.61
106,塑膠、橡膠及其製品,沙烏地阿拉伯,123377,25,-11.56,0.54
106,塑膠、橡膠及其製品,比利時,113149,26,52.87,0.49
106,塑膠、橡膠及其製品,以色列,106629,27,1.24,0.46
106,塑膠、橡膠及其製品,法國,105845,28,11.42,0.46
106,塑膠、橡膠及其製品,埃及,103155,29,-0.65,0.45
106,塑膠、橡膠及其製品,南非,95693,30,7.72,0.42
106,塑膠、橡膠及其製品,巴基斯坦,89288,31,18.39,0.39
106,塑膠、橡膠及其製品,西班牙,78436,32,18.9,0.34
106,塑膠、橡膠及其製品,哥倫比亞,75024,33,9.67,0.33
106,塑膠、橡膠及其製品,紐西蘭,74213,34,10.56,0.32
106,塑膠、橡膠及其製品,俄羅斯,68603,35,13.51,0.3
106,塑膠、橡膠及其製品,秘魯,67009,36,-22.76,0.29
106,塑膠、橡膠及其製品,斯里蘭卡,55545,37,14.02,0.24
106,塑膠、橡膠及其製品,薩爾瓦多,47601,38,14.28,0.21
106,塑膠、橡膠及其製品,瑞典,43975,39,19.72,0.19
106,塑膠、橡膠及其製品,波蘭,40660,40,6.71,0.18
106,塑膠、橡膠及其製品,厄瓜多,40311,41,-4.73,0.18
106,塑膠、橡膠及其製品,葡萄牙,39703,42,40.17,0.17
106,塑膠、橡膠及其製品,智利,36853,43,7.39,0.16
106,塑膠、橡膠及其製品,阿根廷,36846,44,-1.38,0.16
106,塑膠、橡膠及其製品,多明尼加,31099,45,20.1,0.14
106,塑膠、橡膠及其製品,瑞士,30709,46,35.23,0.13
106,塑膠、橡膠及其製品,宏都拉斯,30220,47,0.55,0.13
106,塑膠、橡膠及其製品,柬埔寨,28334,48,10.46,0.12
106,塑膠、橡膠及其製品,科威特,28039,49,-22.95,0.12
106,塑膠、橡膠及其製品,卡達,27457,50,92.64,0.12
106,塑膠、橡膠及其製品,肯亞,26955,51,-15.85,0.12
106,塑膠、橡膠及其製品,丹麥,24660,52,-7.8,0.11
106,塑膠、橡膠及其製品,黎巴嫩,23213,53,38.8,0.1
106,塑膠、橡膠及其製品,哥斯大黎加,22923,54,-15.46,0.1
106,塑膠、橡膠及其製品,緬甸,21523,55,2.19,0.09
106,塑膠、橡膠及其製品,斯洛維尼亞,21066,56,49.23,0.09
106,塑膠、橡膠及其製品,瓜地馬拉,20591,57,-12.66,0.09
106,塑膠、橡膠及其製品,約旦,19621,58,13.38,0.09
106,塑膠、橡膠及其製品,斐濟,19356,59,23.37,0.08
106,塑膠、橡膠及其製品,波多黎各,18510,60,44.81,0.08
106,塑膠、橡膠及其製品,巴拿馬,17791,61,-2.98,0.08
106,塑膠、橡膠及其製品,奈及利亞,16890,62,-13.67,0.07
106,塑膠、橡膠及其製品,烏拉圭,16875,63,4.74,0.07
106,塑膠、橡膠及其製品,阿曼,16097,64,49.6,0.07
106,塑膠、橡膠及其製品,希臘,15971,65,12.93,0.07
106,塑膠、橡膠及其製品,敘利亞,15370,66,33.56,0.07
106,塑膠、橡膠及其製品,羅馬尼亞,14995,67,24.13,0.07
106,塑膠、橡膠及其製品,奧地利,14576,68,16.06,0.06
106,塑膠、橡膠及其製品,捷克,12765,69,3.92,0.06
106,塑膠、橡膠及其製品,挪威,11391,70,17.13,0.05
106,塑膠、橡膠及其製品,芬蘭,10526,71,-10.26,0.05
106,塑膠、橡膠及其製品,立陶宛,10211,72,16.87,0.04
106,塑膠、橡膠及其製品,巴林,8236,73,3.18,0.04
106,塑膠、橡膠及其製品,愛爾蘭,7988,74,-1.81,0.03
106,塑膠、橡膠及其製品,坦尚尼亞,7840,75,-34.98,0.03
106,塑膠、橡膠及其製品,烏克蘭,7603,76,-21.56,0.03
106,塑膠、橡膠及其製品,匈牙利,7586,77,14.56,0.03
106,塑膠、橡膠及其製品,突尼西亞,7330,78,22.45,0.03
106,塑膠、橡膠及其製品,阿爾及利亞,6733,79,-28.32,0.03
106,塑膠、橡膠及其製品,阿爾巴尼亞,6731,80,-13.01,0.03
106,塑膠、橡膠及其製品,拉脫維亞,6502,81,10.43,0.03
106,塑膠、橡膠及其製品,澳門,6184,82,8.4,0.03
106,塑膠、橡膠及其製品,摩洛哥,5857,83,7.69,0.03
106,塑膠、橡膠及其製品,迦納,5707,84,-43.55,0.02
106,塑膠、橡膠及其製品,巴拉圭,5597,85,33.39,0.02
106,塑膠、橡膠及其製品,衣索比亞,4754,86,5.48,0.02
106,塑膠、橡膠及其製品,蘇丹,4658,87,9.5,0.02
106,塑膠、橡膠及其製品,象牙海岸,4462,88,-9.42,0.02
106,塑膠、橡膠及其製品,保加利亞,4419,89,29.17,0.02
106,塑膠、橡膠及其製品,馬爾他,4385,90,170.18,0.02
106,塑膠、橡膠及其製品,模里西斯,4382,91,-8.08,0.02
106,塑膠、橡膠及其製品,伊拉克,4206,92,42.34,0.02
106,塑膠、橡膠及其製品,千里達及托巴哥,3927,93,-18.68,0.02
106,塑膠、橡膠及其製品,關島,3888,94,9.27,0.02
106,塑膠、橡膠及其製品,喬治亞,3847,95,159.76,0.02
106,塑膠、橡膠及其製品,牙買加,3609,96,-8.05,0.02
106,塑膠、橡膠及其製品,愛沙尼亞,3419,97,22.94,0.01
106,塑膠、橡膠及其製品,尼泊爾,3093,98,125.77,0.01
106,塑膠、橡膠及其製品,葉門,3068,99,-11.69,0.01
106,塑膠、橡膠及其製品,莫三比克,2925,100,-25.29,0.01
106,塑膠、橡膠及其製品,尼加拉瓜,2736,101,6.92,0.01
106,塑膠、橡膠及其製品,其他大洋洲國家,2666,102,6.13,0.01
106,塑膠、橡膠及其製品,吉布地,2599,103,2.69,0.01
106,塑膠、橡膠及其製品,委內瑞拉,2031,104,-53.75,0.01
106,塑膠、橡膠及其製品,其他國家,1981,105,-7.3,0.01
106,塑膠、橡膠及其製品,賽普勒斯,1904,106,5.08,0.01
106,塑膠、橡膠及其製品,賴索托,1673,107,0.42,0.01
106,塑膠、橡膠及其製品,蘇利南,1593,108,40.35,0.01
106,塑膠、橡膠及其製品,古巴,1589,109,-60.62,0.01
106,塑膠、橡膠及其製品,斯洛伐克,1563,110,17.08,0.01
106,塑膠、橡膠及其製品,馬達加斯加,1475,111,9.58,0.01
106,塑膠、橡膠及其製品,蒙特內哥羅共和國,1457,112,-56.18,0.01
106,塑膠、橡膠及其製品,哈薩克,1338,113,49.83,0.01
106,塑膠、橡膠及其製品,汶萊,1285,114,0.78,0.01
106,塑膠、橡膠及其製品,剛果民主共和國,1274,115,35.68,0.01
106,塑膠、橡膠及其製品,巴布亞紐幾內亞,1273,116,-31.78,0.01
106,塑膠、橡膠及其製品,安哥拉,1210,117,89.95,0.01
106,塑膠、橡膠及其製品,帛琉,1146,118,9.14,0
106,塑膠、橡膠及其製品,貝南,938,119,-40.97,0
106,塑膠、橡膠及其製品,克羅埃西亞,822,120,-8.05,0
106,塑膠、橡膠及其製品,海地,802,121,18.64,0
106,塑膠、橡膠及其製品,喀麥隆,797,122,-33.86,0
106,塑膠、橡膠及其製品,薩摩亞,778,123,3.32,0
106,塑膠、橡膠及其製品,紐喀里多尼亞,729,124,5.65,0
106,塑膠、橡膠及其製品,白俄羅斯,649,125,126.92,0
106,塑膠、橡膠及其製品,賴比瑞亞,636,126,226.15,0
106,塑膠、橡膠及其製品,貝里斯,612,127,16.57,0
106,塑膠、橡膠及其製品,利比亞,584,128,-33.86,0
106,塑膠、橡膠及其製品,其他非洲國家,567,129,-27.68,0
106,塑膠、橡膠及其製品,盧森堡,561,130,-70.33,0
106,塑膠、橡膠及其製品,塞內加爾,469,131,-48.74,0
106,塑膠、橡膠及其製品,多哥,431,132,-35.86,0
106,塑膠、橡膠及其製品,蒙古,425,133,22.48,0
106,塑膠、橡膠及其製品,冰島,406,134,-3.79,0
106,塑膠、橡膠及其製品,史瓦帝尼,406,134,111.46,0
106,塑膠、橡膠及其製品,蓋亞那,401,135,-4.52,0
106,塑膠、橡膠及其製品,馬爾地夫,401,135,115.59,0
106,塑膠、橡膠及其製品,幾內亞,372,136,-5.34,0
106,塑膠、橡膠及其製品,其他中美洲國家,347,137,28.52,0
106,塑膠、橡膠及其製品,玻利維亞,337,138,-39.5,0
106,塑膠、橡膠及其製品,大溪地,319,139,-11.14,0
106,塑膠、橡膠及其製品,巴貝多,315,140,-15.32,0
106,塑膠、橡膠及其製品,馬紹爾群島共和國,311,141,-12.89,0
106,塑膠、橡膠及其製品,亞美尼亞,304,142,72.73,0
106,塑膠、橡膠及其製品,馬拉威,298,143,-11.04,0
106,塑膠、橡膠及其製品,東加,264,144,3.53,0
106,塑膠、橡膠及其製品,烏干達,242,145,157.45,0
106,塑膠、橡膠及其製品,加彭,225,146,-22.41,0
106,塑膠、橡膠及其製品,波札那,173,147,-62.72,0
106,塑膠、橡膠及其製品,聖露西亞,153,148,313.51,0
106,塑膠、橡膠及其製品,辛巴威,140,149,57.3,0
106,塑膠、橡膠及其製品,納米比亞,122,150,-29.89,0
106,塑膠、橡膠及其製品,烏茲別克,94,151,9300,0
106,塑膠、橡膠及其製品,吉里巴斯,88,152,-7.37,0
106,塑膠、橡膠及其製品,聖文森及格瑞納丁,88,152,8.64,0
106,塑膠、橡膠及其製品,索羅門群島,86,153,-39.86,0
106,塑膠、橡膠及其製品,美屬薩摩亞,85,154,-15.84,0
106,塑膠、橡膠及其製品,塞爾維亞,84,155,-28.21,0
106,塑膠、橡膠及其製品,摩爾多瓦,73,156,69.77,0
106,塑膠、橡膠及其製品,茅利塔尼亞伊斯蘭共和國,72,157,60,0
106,塑膠、橡膠及其製品,萬那杜,65,158,0,0
106,塑膠、橡膠及其製品,北馬其頓,55,159,3.77,0
106,塑膠、橡膠及其製品,其他北美洲國家,51,160,21.43,0
106,塑膠、橡膠及其製品,剛果,49,161,44.12,0
106,塑膠、橡膠及其製品,格瑞那達,45,162,-26.23,0
106,塑膠、橡膠及其製品,亞塞拜然,42,163,-61.82,0
106,塑膠、橡膠及其製品,吉爾吉斯,38,164,-,0
106,塑膠、橡膠及其製品,其他南美洲國家,31,165,-39.22,0
106,塑膠、橡膠及其製品,聖克里斯多福,31,165,47.62,0
106,塑膠、橡膠及其製品,寮國,30,166,150,0
106,塑膠、橡膠及其製品,北韓,25,167,-60.32,0
106,塑膠、橡膠及其製品,盧安達,23,168,-30.3,0
106,塑膠、橡膠及其製品,諾魯,21,169,250,0
106,塑膠、橡膠及其製品,波士尼亞及赫塞哥維納,19,170,1800,0
106,塑膠、橡膠及其製品,尚比亞,18,171,-73.91,0
106,塑膠、橡膠及其製品,其他歐洲國家,14,172,7.69,0
106,塑膠、橡膠及其製品,布吉納法索,9,173,-82.35,0
106,塑膠、橡膠及其製品,獅子山,9,173,200,0
106,塑膠、橡膠及其製品,不丹,8,174,-,0
106,塑膠、橡膠及其製品,厄利垂亞,8,174,-,0
106,塑膠、橡膠及其製品,尼日,3,175,50,0
106,塑膠、橡膠及其製品,馬利,3,175,-25,0
106,塑膠、橡膠及其製品,南蘇丹,2,176,-,0
106,塑膠、橡膠及其製品,甘比亞,2,176,-89.47,0
106,塑膠、橡膠及其製品,吐瓦魯,1,177,0,0
106,塑膠、橡膠及其製品,土庫曼,1,177,-75,0
106,基本金屬及其製品,中國大陸,5827947,1,33.87,20.07
106,基本金屬及其製品,美國,5768530,2,13.63,19.86
106,基本金屬及其製品,日本,2158784,3,26.24,7.43
106,基本金屬及其製品,越南,1406938,4,24.85,4.84
106,基本金屬及其製品,泰國,1168309,5,4.76,4.02
106,基本金屬及其製品,南韓,1023218,6,41.66,3.52
106,基本金屬及其製品,德國,894394,7,10.39,3.08
106,基本金屬及其製品,馬來西亞,875351,8,24.98,3.01
106,基本金屬及其製品,香港,685080,9,5.08,2.36
106,基本金屬及其製品,澳大利亞,670289,10,14.01,2.31
106,基本金屬及其製品,荷蘭,626404,11,-20.31,2.16
106,基本金屬及其製品,英國,622127,12,23.92,2.14
106,基本金屬及其製品,加拿大,556231,13,10.56,1.92
106,基本金屬及其製品,義大利,537636,14,21.73,1.85
106,基本金屬及其製品,菲律賓,514211,15,20.75,1.77
106,基本金屬及其製品,墨西哥,481593,16,25.51,1.66
106,基本金屬及其製品,比利時,479777,17,82.19,1.65
106,基本金屬及其製品,印尼,463188,18,30.63,1.59
